id,hate_feature,categories
18532,wider audience,Other
18532,run money,cost
67896,unbiased volume,Other
67896,lower roi,roi
67896,costly roi,roi
67896,saw roi,roi
67896,week launching,Other
67896,paid subscription,security
67896,deal lead,social
177131,additional feature,Info
177131,feature linkedin,Info
177131,linkedin integration,Other
177131,nt evaluate,Other
179859,feature mean,Info
179859,mean flow,Other
179859,slight hindrance,Other
179888,least service,Other
179888,integrated service,Other
182325,integrate system,Other
182325,passive detractor,Other
182325,detractor comment,Other
182325,comment doubt,Other
182325,doubt help,Other
182489,little product,Other
182489,featurelight future,Info
183103,hard anything,Other
183103,simple explainer,Other
183103,show value,needs
183103,value functionality,needs
183130,platform develops,Other
184048,product ton,Other
184048,ton reporting,needs
184054,think anything,Other
188630,moment product,Other
188630,focus breathe,Other
188630,air product,Other
188638,ihas tailor,Other
188638,working tailor,Other
188638,made approach,Other
188638,campaign something,Other
188638,product market,Other
188638,market product,Other
188638,limited practice,Other
188638,advisory practice,Other
188638,practice organization,Other
188638,way implement,Other
188638,implement campaign,Other
188638,bring client,Other
188638,future client,Other
188638,campaign execution,Other
190023,found anything,Other
199474,grow feedback,Other
199474,feedback user,Other
199954,newer product,Other
199954,bit hand,Other
199954,onboarded product,Other
199954,saying support,Other
201553,bad experience,Info
202787,lack slack,needs
202787,slack integration,needs
202787,integration patrick,Other
202787,integrated move,Other
202787,product engineering,Other
202787,engineering side,Other
202787,seeing feature,Info
276255,consider midmarket,Other
276255,small granular,Info
276255,made granular,Info
277669,suck customer,Other
277669,negative information,Info
277669,information allows,Info
277669,need work,Other
277669,work order,Other
280373,grid question,Other
280373,question validity,Other
280373,appear question,Other
280373,market presence,Other
280373,presence algorithm,Other
280373,secret report,Other
280373,think report,Other
280373,usability ease,Other
280373,ease setup,Other
280373,larger vendor,Other
288758,tool month,tools and tech
288758,month feeling,Other
289187,le burden,Info
289187,burden customer,Info
289187,customer fill,Other
296992,think anything,Other
297223,work product,Other
297223,product profile,Other
297223,set site,Other
297239,linkedin log,social
297239,hard work,Other
297426,low volume,Other
297426,working rep,Other
297426,find solution,Other
297426,solution help,Other
297426,help increase,Other
297426,increase volume,Other
300311,thing think,Other
300311,think improvement,Other
300311,reliability adroll,Other
300948,enough prominence,Other
300948,prominence nt,Other
300948,think charity,Other
300948,charity donation,Other
300948,think way,Other
300948,seeing balance,Other
300948,company moment,Other
300948,single customer,Other
300948,customer skew,Other
300976,category result,Other
300976,different product,Other
300976,noncompetitive product,Other
300976,product category,Other
300976,make product,Other
300976,hard compare,Other
302708,grown pricing,Other
302708,forecasting harder,Other
302708,additional way,Other
302708,generate lead,social
302708,lead system,social
302708,core solution,Other
302708,solution offering,Other
305790,setting product,Other
305790,profile bit,Other
305790,cumbersome page,landing and other pages
305790,corporate page,landing and other pages
305790,individual product,Other
305790,entire portfolio,Other
307360,seo penetration,tools and tech
307360,least generate,Other
307360,category generate,Other
307360,organic lead,social
309559,star rating,Other
309559,rating nt,Other
309559,used move,Other
309559,drove traffic,Other
309559,traffic site,Other
320249,found anything,Other
329787,nt see,Other
329787,profile page,landing and other pages
333833,system bit,Other
333833,intuitive user,Other
333833,cleaner user,Other
333833,end user,Other
333833,proponent copy,Other
333833,take que,Other
333833,que yelp,Other
333833,tripadvisor term,security
333833,present company,Other
333833,company category,Other
333833,category list,Other
333833,list view,Other
333833,think guy,Other
333833,respective category,Other
333833,product category,Other
333833,able rank,Other
333833,category bit,Other
333833,misleading end,social
333833,think end,Other
333833,end user,Other
333833,relying site,Other
333931,question way,Other
333931,ongoing feedback,Other
333931,feedback customer,Other
333931,allow feature,Info
334128,stronger brand,Other
334128,several colleague,Other
334128,colleague b2b,Other
334128,heard platform,Other
334128,take bit,Other
334128,gold standard,Other
334309,dive bit,Other
334309,deeper customer,Other
334309,customer usage,Other
334309,usage case,Other
334309,sorting capability,Other
334309,capability region,Other
334309,region case,Other
334965,common theme,Other
334965,theme export,Other
334965,excel csv,Other
334965,csv doc,needs
335954,future growth,Other
336467,least program,tools and tech
336467,internal resource,Info
336467,resource order,Info
336467,order garner,Other
336467,benefit platform,Other
336467,believe pay,Other
336467,pay term,Other
336576,gain visibility,Other
336576,visibility training,Other
336576,utilize featurestools,Info
336576,put place,Other
336667,content marketing,Other
336667,marketing program,tools and tech
336667,stage nt,Other
336667,due ad,Other
336667,ad design,Other
336667,feature nt,Info
336667,lead nt,social
336667,little nt,Other
336667,confusing nt,needs
336667,nt web,Other
336667,web dev,Other
336667,dev experience,Info
336667,experience evaluation,Info
336667,evaluation grid,Other
336667,favor market,Other
336667,market size,Other
336667,nt work,Other
336667,work enterprise,Other
336667,enterprise business,Other
336667,labeled market,Other
336667,market leader,social
336667,portfolio comparison,Other
336667,comparison report,Other
336667,smaller startup,Other
336718,solved iteration,Other
336718,messaging etc,Other
336726,customizability button,Other
336726,button vendor,Other
336726,vendor page,landing and other pages
336726,working feedback,Other
336856,lead lead,social
336856,embed feature,Info
336856,limiting ability,Other
336856,specific section,Other
336856,testimonial embed,Other
336870,outside idea,Other
336870,basic idea,Other
336870,limited suggestion,Other
336870,suggestion seem,Other
336870,spending money,cost
336870,inbound lead,social
336870,lead activity,social
336870,nt experience,Info
336870,specific product,Other
337033,grid way,Other
337033,ass market,Other
337033,market presence,Other
337119,customize qualification,Other
337119,qualification question,Other
337119,question anyone,Other
337119,anyone request,Other
337119,request demo,Other
337501,nt element,Other
337501,element profile,Other
337501,profile page,landing and other pages
337501,customizable example,Other
337501,example watch,Other
337501,watch demo,Other
337501,demo button,Other
337728,survey process,Other
337902,crowd month,Other
338568,little trouble,Other
338568,establishing contact,Other
338568,ongoing rep,Other
338568,rep person,Other
338568,set campaign,Other
338568,helpful instruction,Other
339183,open feedback,Other
341360,variety product,Other
341360,send customer,Other
341360,different page,landing and other pages
341360,page write,landing and other pages
341641,company profile,Other
342331,nt form,Other
342331,form deal,Other
342331,deal breaker,Other
345131,lead report,social
345131,scoring report,Other
345131,influenced volume,Other
345742,nt basis,Other
345742,portal basis,Other
345742,regular basis,Other
345742,make change,Other
345742,select series,Other
345742,website see,Other
345742,brandfree r,Other
345742,r feed,Other
345742,publish website,Other
345742,testimonial website,Other
346659,lead feature,social
348994,account manager,Other
348994,helpful feedback,Other
348994,open feedback,Other
348994,feedback bit,Other
348994,pricey business,cost
348994,small business,Other
348994,business market,Other
