id,good_reviews
179888,excellent service and it is clear that Advocately is committed to getting the best results for their clients
184054,better with our clients
188638,best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry
188638,best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there
190023,best result
288758,good pricing
297426,high quality leads to our sales team
300311,best results of the programs we are running
300311,better CSM than Andrew Ledet
302708,better suit our needs and help position Certify stronger in the selling process
334128,good and bad about a particular offering
334128,better informed
334309,best to either fix the problem or get others from the extended team involved to resolve or come up with a viable and workable solution
335954,best traffic sources for us
336667,best educate our prospects on the value of our service
336856,good approach
336856,good to collect customer feedback
339183,better than other platforms
366910,good partnership
372540,best unfiltered and comprehensive platform to learn about strengths and weaknesses of various b2b tech in the market both established and contending
377146,best practices when it comes to recruiting and leveraging reviews
377146,better intel and retargeting purposes
519906,best onboarding experience compared to some of the other peer review sites I have used
555826,excellent support in getting you ramped up and helping you to understand all the features
633169,excellent suggestions
636315,best value out of their platform and give us options that work well with the goals and needs of our business
637585,best one I
641705,better than I expected
658177,best practice documentation and case studies to help us get up to speed
673068,best thing about G2 are the people who work their
715566,excellent communicators
716665,good visual overview
716665,best experiences
747330,best ever
749930,better business intelligence
815404,best I
815404,excellent results from our review campaign
877046,best practices
990946,better positioned on the grid
1108085,good as the last and the transition has been seamless
1299532,better improve our funnel and conversion
1368615,best is the unique access to engage with prospects that are in a research phase by providing unfiltered perspective from our customers
1663299,best experience I have ever received from a vendor
1912208,best part is that they follow up with detailed instructions after every call
1930390,best practices and provided valuable advice and support
1934479,best websites I
1968850,excellent experience with G2 Crowd
2077462,best practice
2080920,excellent and really helps to focus our marketing efforts towards active buyers
2104489,better experience
2158700,best about G2 is that we
2324242,best thing about them
2366343,best 3rd party validation platform for software companies
2366343,better than our competitors
2765243,excellent service at our industry event where they gathered 200
2922654,best use out of the platform
3351415,good for your business
3747554,best practices on what other users are doing to make sure you
4168053,best value
4194982,excellent tool for us to determine real opportunities and who is searching for our solutions
4212266,best marketing material for us
4360983,best practice for our page
4366410,best thing about G2 is how the plan and onboarding are tailored to our business case
4366410,best use the G2 features for us
4374917,best optimize our company profile
4457650,best practices
4552188,good backend full of insight to better manage your online presence
4644690,best thing about G2 is how the implementation and customer success team from G2 take the time to onboard you onto the platform
4647035,good can result
4650358,better compete in your industry
4650358,good analytics platform and easy to manage profile compared to other Review Sites
