id,hate_feature
18532,wider audience
18532,run money
67896,unbiased volume
67896,lower roi
67896,costly roi
67896,saw roi
67896,week launching
67896,paid subscription
67896,deal lead
177131,additional feature
177131,feature linkedin
177131,linkedin integration
177131,nt evaluate
179859,feature mean
179859,mean flow
179859,slight hindrance
179888,least service
179888,integrated service
182325,integrate system
182325,passive detractor
182325,detractor comment
182325,comment doubt
182325,doubt help
182489,little product
182489,featurelight future
183103,hard anything
183103,simple explainer
183103,show value
183103,value functionality
183130,platform develops
184048,product ton
184048,ton reporting
184054,think anything
188630,moment product
188630,focus breathe
188630,air product
188638,ihas tailor
188638,working tailor
188638,made approach
188638,campaign something
188638,product market
188638,market product
188638,limited practice
188638,advisory practice
188638,practice organization
188638,way implement
188638,implement campaign
188638,bring client
188638,future client
188638,campaign execution
190023,found anything
199474,grow feedback
199474,feedback user
199954,newer product
199954,bit hand
199954,onboarded product
199954,saying support
201553,bad experience
202787,lack slack
202787,slack integration
202787,integration patrick
202787,integrated move
202787,product engineering
202787,engineering side
202787,seeing feature
276255,consider midmarket
276255,small granular
276255,made granular
277669,suck customer
277669,negative information
277669,information allows
277669,need work
277669,work order
280373,grid question
280373,question validity
280373,appear question
280373,market presence
280373,presence algorithm
280373,secret report
280373,think report
280373,usability ease
280373,ease setup
280373,larger vendor
288758,tool month
288758,month feeling
289187,le burden
289187,burden customer
289187,customer fill
296992,think anything
297223,work product
297223,product profile
297223,set site
297239,linkedin log
297239,hard work
297426,low volume
297426,working rep
297426,find solution
297426,solution help
297426,help increase
297426,increase volume
300311,thing think
300311,think improvement
300311,reliability adroll
300948,enough prominence
300948,prominence nt
300948,think charity
300948,charity donation
300948,think way
300948,seeing balance
300948,company moment
300948,single customer
300948,customer skew
300976,category result
300976,different product
300976,noncompetitive product
300976,product category
300976,make product
300976,hard compare
302708,grown pricing
302708,forecasting harder
302708,additional way
302708,generate lead
302708,lead system
302708,core solution
302708,solution offering
305790,setting product
305790,profile bit
305790,cumbersome page
305790,corporate page
305790,individual product
305790,entire portfolio
307360,seo penetration
307360,least generate
307360,category generate
307360,organic lead
309559,star rating
309559,rating nt
309559,used move
309559,drove traffic
309559,traffic site
320249,found anything
329787,nt see
329787,profile page
333833,system bit
333833,intuitive user
333833,cleaner user
333833,end user
333833,proponent copy
333833,take que
333833,que yelp
333833,tripadvisor term
333833,present company
333833,company category
333833,category list
333833,list view
333833,think guy
333833,respective category
333833,product category
333833,able rank
333833,category bit
333833,misleading end
333833,think end
333833,end user
333833,relying site
333931,question way
333931,ongoing feedback
333931,feedback customer
333931,allow feature
334128,stronger brand
334128,several colleague
334128,colleague b2b
334128,heard platform
334128,take bit
334128,gold standard
334309,dive bit
334309,deeper customer
334309,customer usage
334309,usage case
334309,sorting capability
334309,capability region
334309,region case
334965,common theme
334965,theme export
334965,excel csv
334965,csv doc
335954,future growth
336467,least program
336467,internal resource
336467,resource order
336467,order garner
336467,benefit platform
336467,believe pay
336467,pay term
336576,gain visibility
336576,visibility training
336576,utilize featurestools
336576,put place
336667,content marketing
336667,marketing program
336667,stage nt
336667,due ad
336667,ad design
336667,feature nt
336667,lead nt
336667,little nt
336667,confusing nt
336667,nt web
336667,web dev
336667,dev experience
336667,experience evaluation
336667,evaluation grid
336667,favor market
336667,market size
336667,nt work
336667,work enterprise
336667,enterprise business
336667,labeled market
336667,market leader
336667,portfolio comparison
336667,comparison report
336667,smaller startup
336718,solved iteration
336718,messaging etc
336726,customizability button
336726,button vendor
336726,vendor page
336726,working feedback
336856,lead lead
336856,embed feature
336856,limiting ability
336856,specific section
336856,testimonial embed
336870,outside idea
336870,basic idea
336870,limited suggestion
336870,suggestion seem
336870,spending money
336870,inbound lead
336870,lead activity
336870,nt experience
336870,specific product
337033,grid way
337033,ass market
337033,market presence
337119,customize qualification
