Category,Id,Feature
Info,177131,feature linkedin
Info,179859,feature mean
Info,182489,featurelight future
Info,201553,bad experience
Info,202787,seeing feature
Info,276255,made granular
Info,277669,information allows
Info,289187,burden customer
Info,336870,nt experience
Info,543274,information company
Other,184054,think anything
Other,190023,found anything
Other,297239,hard work
Other,637248,marketing solution
Other,708085,answer question
Other,807808,onboarding process
Other,898607,buyer intent
Other,3559841,intent data
Other,7063941,take bit
Other,7185301,nt work
cost,18532,run money
cost,336870,spending money
cost,348994,pricey business
cost,647201,expensive startup
cost,753884,unsure money
cost,780657,cost acquisition
cost,898607,money name
cost,953874,pricey side
cost,1709075,pricey startup
cost,2506505,price point
landing and other pages,305790,corporate page
landing and other pages,329787,profile page
landing and other pages,336726,vendor page
landing and other pages,341360,page write
landing and other pages,351531,predefined page
landing and other pages,354532,viewed page
landing and other pages,377260,page increase
landing and other pages,689224,landing page
landing and other pages,4360983,product page
landing and other pages,7079149,customize page
needs,183103,value functionality
needs,184048,ton reporting
needs,202787,slack integration
needs,334965,csv doc
needs,336667,confusing nt
needs,354532,attribution value
needs,371950,see documentation
needs,616298,lack multilanguage
needs,646011,user interface
needs,4469517,reporting need
roi,67896,saw roi
roi,354532,roi track
roi,658177,measure roi
roi,673248,roi goal
roi,749930,annual revenue
roi,780657,needed roi
roi,862086,value roi
roi,1322855,seeing roi
roi,2158700,employee revenue
roi,4141337,determine roi
security,67896,paid subscription
security,333833,tripadvisor term
security,354532,ip address
security,366147,multiple product
security,370467,category description
security,1239365,subscription price
security,4194616,ip look
security,4396413,relationship manager
security,4700888,multiple category
security,9144698,content subscription
social,67896,deal lead
social,297239,linkedin log
social,302708,lead system
social,307360,organic lead
social,333833,misleading end
social,336667,market leader
social,515733,lead generation
social,898607,email address
social,1953502,email notification
social,4469517,lead gen
tools and tech,280373,grid question
tools and tech,288758,tool month
tools and tech,307360,seo penetration
tools and tech,336467,least program
tools and tech,336667,evaluation grid
tools and tech,415865,research team
tools and tech,613314,comparison tool
tools and tech,2158700,grid report
tools and tech,6889183,position grid
tools and tech,7167708,overall tool
